NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
Skin Decision,Personal care service,yes,yes,7,1,1
Skin Deep Aesthetics,Personal care service,yes,yes,7,1,1
Skoke's Hair Stylists,Personal care service,yes,yes,7,1,1
Sky Talent Group,"Live, performing arts for audience",yes,yes,3,1,1
Slayed Hair and Esthetics,Personal care service,yes,no,7,1,0
SLICLASER Hair Removal Clinic,Self-regulated health professional,yes,yes,6,1,1
Slim Gyms Fitness,Fitness establishment,yes,yes,0,1,1
Slingin iNK902 Tattoo Shop,Personal care service,yes,yes,7,1,1
Smile Sushi,Restaurant with onsite dining,yes,yes,4,1,1
Smiledog Your Receptionist,Self-regulated health professional,yes,yes,6,1,1
Smith Rock Lodge and Chalets,Drinking establishment,yes,yes,1,1,1
Smittys Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Smittys Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Smitty's Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Smitty's Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Smoke's Poutinerie,Restaurant with onsite dining,yes,yes,4,1,1
Smokeys Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Snappers Bar & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Snappy Tomato Pizza,Restaurant with onsite dining,yes,no,4,1,0
Snappy Tomato Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Snappy Tomato Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Snow Queen Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Sober Island Brewing Company,Drinking establishment,yes,yes,1,1,1
Sober Island Oysters,Restaurant with onsite dining,no,yes,4,0,1
Sociables Pub and Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Society of Bastet Alternative Lifestyle Community,Small retail,no,yes,2,0,1
Society of Deaf & Hard of Hearing NS,Charity,yes,yes,7,1,1
Sock It To Ya!,Small retail,no,yes,2,0,1
Sogo Body Therapy,Personal care service,yes,no,7,1,0
Sole Provider Custom Orthotics,Self-regulated health professional,yes,no,6,1,0
Soley Shoes,Small retail,no,yes,2,0,1
SOMA Vein and Laser Centre,Personal care service,no,yes,7,0,1
Somewhere Cosy,Restaurant with onsite dining,no,yes,4,0,1
Songs for the Gang,"Live, performing arts for audience",yes,yes,3,1,1
Song's Korean Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Sonic Concerts,"Live, performing arts for audience",yes,yes,3,1,1
Sonicart.ca Productions,"Live, performing arts for audience",yes,yes,3,1,1
Sonny's Diner,Restaurant with onsite dining,yes,no,4,1,0
Soo Good Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Soul Tribe Masterclass,"Live, performing arts for audience",yes,yes,3,1,1
Soulfinger Productions,"Live, performing arts for audience",yes,yes,3,1,1
SoulSpace Counselling Therapy,Self-regulated health professional,yes,yes,6,1,1
Sound Chiropractic and Health Sciences Centre,Self-regulated health professional,yes,yes,6,1,1
Sound Connections Therapy Services,Self-regulated health professional,no,yes,6,0,1
Sound Source Pro Audio & Light,"Live, performing arts for audience",yes,yes,3,1,1
Soundpark Studios,"Live, performing arts for audience",yes,yes,3,1,1
Sourwood Cider,Restaurant with onsite dining,yes,yes,4,1,1
South Ohio Community Centre Society,Charity,yes,yes,7,1,1
South Shore Eye Clinic,Self-regulated health professional,yes,yes,6,1,1
South Shore Optical,Small retail,no,yes,2,0,1
South Shore Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
South Shore Theatrical Players,"Live, performing arts for audience",yes,yes,3,1,1
Sou'Wester Athletics,Fitness establishment,yes,yes,0,1,1
SPA Chappelle Organic Beauty,Personal care service,yes,yes,7,1,1
Sparrow Hair Studio,Personal care service,yes,yes,7,1,1
Spice Nails & Spa,Personal care service,yes,yes,7,1,1
SPINCO,Fitness establishment,yes,yes,0,1,1
SPINCO Bedford,Fitness establishment,yes,yes,0,1,1
Spindrift Brewing Co.,Drinking establishment,yes,no,1,1,0
Spindrift Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Spirit Spa,Personal care service,yes,yes,7,1,1
Spitfire Arms Alehouse,Restaurant with onsite dining,yes,yes,4,1,1
Split Crow Pub,Drinking establishment,yes,yes,1,1,1
Splitt Ends Unisex Hair Design,Personal care service,no,yes,7,0,1
Sportball,Fitness establishment,no,yes,0,0,1
Sprig Apothecary,Small retail,no,yes,2,0,1
Springhouse,Restaurant with onsite dining,yes,yes,4,1,1
Sprout Therapy,Restaurant with onsite dining,yes,yes,4,1,1
Spryfield Lions Rink and Recreation Society,Fitness establishment,no,yes,0,0,1
Spryfield Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Square Roots Hair & Esthetics,Personal care service,yes,yes,7,1,1
St Louis Bar and Grill,Restaurant with onsite dining,yes,no,4,1,0
St Louis Bar and Grill,Restaurant with onsite dining,yes,no,4,1,0
St Margarets Bay Chiropractic Centre,Self-regulated health professional,yes,yes,6,1,1
St Margaret's Bay Food Bank,Charity,yes,no,7,1,0
St. Margaret's Bay Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Stacked RC Inc.,"Live, performing arts for audience",yes,yes,3,1,1
Stanhope And Company Hair Studio,Personal care service,yes,yes,7,1,1
Stanley Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Stanley Mosherville Community Hall,"Live, performing arts for audience",no,yes,3,0,1
Stan's Hair Company,Personal care service,yes,yes,7,1,1
Star Anise,Restaurant with onsite dining,yes,yes,4,1,1
Stark's Headquarters,Personal care service,yes,yes,7,1,1
Station Six Food & Drink,Restaurant with onsite dining,yes,yes,4,1,1
Stay Sharp Barbering,Personal care service,yes,yes,7,1,1
Steak and Stein Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Steak and Stein Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Stealth Sports Training,Fitness establishment,yes,yes,0,1,1
Steampunk'd Salon,Personal care service,yes,yes,7,1,1
Steel City Sports Bar,Drinking establishment,yes,no,1,1,0
Steel City Sports Bar,Restaurant with onsite dining,no,yes,4,0,1
Stefmore,Self-regulated health professional,yes,yes,6,1,1
Sterno's Bistro The Pizza Shop,Restaurant with onsite dining,yes,yes,4,1,1
Steve-O-Reno's Cappuccino,Restaurant with onsite dining,yes,yes,4,1,1
Stonehouse Sound,"Live, performing arts for audience",yes,yes,3,1,1
Stoneman's Jewellery Inc,Small retail,no,yes,2,0,1
Strada Health and Fitness,Self-regulated health professional,yes,yes,6,1,1
Strait Razor Barbershop,Personal care service,yes,yes,7,1,1
Strait Vapor Retail Shop,Small retail,no,yes,2,0,1
Strand Inc,Personal care service,yes,yes,7,1,1
Stride Well Foot and Health Services,Self-regulated health professional,yes,yes,6,1,1
Strides Health & Fitness Club,Fitness establishment,no,yes,0,0,1
Strong Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Stubborn Goat Gastropub,Restaurant with onsite dining,yes,yes,4,1,1
Stubbyfingers Inc,"Live, performing arts for audience",yes,yes,3,1,1
Studio 158,Personal care service,yes,yes,7,1,1
Studio 21 Fine Art,Small retail,no,yes,2,0,1
Studio 26 Dance Co.,Fitness establishment,yes,yes,0,1,1
Studio East Food + Drink,Restaurant with onsite dining,yes,yes,4,1,1
Studio In Essence,Fitness establishment,yes,yes,0,1,1
Studio Meraki,Personal care service,yes,yes,7,1,1
Studio Ten Eighty-One,Personal care service,yes,yes,7,1,1
Studio333 Hair Design,Personal care service,yes,no,7,1,0
StudioFit,Fitness establishment,yes,yes,0,1,1
Style By Sakina,Personal care service,yes,yes,7,1,1
Styled By Denise,Personal care service,yes,no,7,1,0
Styles & Staches Salon Services,Personal care service,yes,no,7,1,0
Styles Ahead Hair Design,Personal care service,yes,yes,7,1,1
Styles Alive,Personal care service,yes,yes,7,1,1
Styles In Motion Hair Salon,Personal care service,yes,yes,7,1,1
Styles Unlimited,Personal care service,yes,yes,7,1,1
Su Nails & Spa,Personal care service,no,yes,7,0,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,no,4,1,0
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,no,yes,4,0,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway,Restaurant with onsite dining,yes,yes,4,1,1
Subway E,Restaurant with onsite dining,yes,yes,4,1,1
Sue's Hair Prosthesis & Breast Forms,Personal care service,no,yes,7,0,1
Sugar Moon Farm,Restaurant with onsite dining,yes,yes,4,1,1
Summit Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Sun City Tanning Studio,Personal care service,yes,yes,7,1,1
Sun Lovers Tanning and Beauty Boutique,Personal care service,yes,yes,7,1,1
Sunflower Natural Health,Self-regulated health professional,yes,yes,6,1,1
Sunny Oasis Tanning & Hair Studio,Personal care service,yes,yes,7,1,1
Sunnyside Psychological Services,Self-regulated health professional,no,yes,6,0,1
Sunrise Printing,Small retail,no,yes,2,0,1
Sunrise Stable,Fitness establishment,yes,yes,0,1,1
Sunset Art Gallery,Small retail,no,yes,2,0,1
Sunset Beverage Room,Restaurant with onsite dining,yes,yes,4,1,1
Sunswirl,Personal care service,yes,yes,7,1,1
Superstar Karaoke Lounge,Drinking establishment,yes,yes,1,1,1
Supportive Counselling Services,Self-regulated health professional,yes,yes,6,1,1
Sushi Fang,Restaurant with onsite dining,yes,yes,4,1,1
Sushi Jet Asian Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Sushi Jet Larry Uteck,Restaurant with onsite dining,yes,yes,4,1,1
Sushi Kawa,Restaurant with onsite dining,yes,yes,4,1,1
Sushi Moto,Restaurant with onsite dining,yes,yes,4,1,1
Sushi Nami,Restaurant with onsite dining,yes,yes,4,1,1
Sushi Shige,Restaurant with onsite dining,yes,no,4,1,0
Sushi Tonari,Restaurant with onsite dining,yes,yes,4,1,1
Susie's Shortbreads,Restaurant with onsite dining,yes,yes,4,1,1
SV Nail Studio,Personal care service,yes,yes,7,1,1
Swaagat: The Real Taste of India,Restaurant with onsite dining,yes,no,4,1,0
Swee Tea House,Restaurant with onsite dining,yes,yes,4,1,1
Sweet Hereafter Cheesecakery,Restaurant with onsite dining,yes,yes,4,1,1
Sweet Side of the Moon,Restaurant with onsite dining,yes,yes,4,1,1
Sweet Treasures,Small retail,no,yes,2,0,1
Sweetgrass & Sage Counselling and Assessment Services,Self-regulated health professional,yes,yes,6,1,1
Sweeties Candy and Gifts,Small retail,no,yes,2,0,1
Swell Equestrian,Fitness establishment,yes,yes,0,1,1
Swiss Chalet,Restaurant with onsite dining,yes,yes,4,1,1
Swiss Chalet,Restaurant with onsite dining,yes,no,4,1,0
Swiss Chalet,Restaurant with onsite dining,yes,yes,4,1,1
Swiss Chalet,Restaurant with onsite dining,yes,yes,4,1,1
Swiss Chalet,Restaurant with onsite dining,yes,no,4,1,0
Swiss Chalet and Harvey's,Restaurant with onsite dining,yes,yes,4,1,1
Swiss Chalet/Harvey's,Restaurant with onsite dining,yes,no,4,1,0
Sydney Street Pub & Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Symmetry Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
Symmetry Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
Symphony Nova Scotia,"Live, performing arts for audience",yes,yes,3,1,1
Synergy Physio Pilates,Self-regulated health professional,yes,yes,6,1,1
Szeto Fitness Studio,Fitness establishment,yes,yes,0,1,1
Szeto's Wok,Restaurant with onsite dining,yes,yes,4,1,1
T A Nails Spa,Personal care service,no,yes,7,0,1
T&K Hair Salon,Personal care service,no,yes,7,0,1
T.A.N. Coffee,Restaurant with onsite dining,yes,yes,4,1,1
T.A.N. Fair Trade Products,Restaurant with onsite dining,yes,yes,4,1,1
Tako Sushi & Ramen,Restaurant with onsite dining,yes,yes,4,1,1
Talay Thai,Restaurant with onsite dining,yes,yes,4,1,1
Talay Thai,Restaurant with onsite dining,yes,yes,4,1,1
Talent Source Entertainment Coordinators,"Live, performing arts for audience",yes,no,3,1,0
TALO Cafebar,Restaurant with onsite dining,yes,yes,4,1,1
Tamarind Optical,Self-regulated health professional,yes,yes,6,1,1
Tamarind Optical,Self-regulated health professional,yes,yes,6,1,1
Tangled Garden Herbs,Drinking establishment,yes,yes,1,1,1
Tanglez Hair Studio,Personal care service,yes,yes,7,1,1
Tania's Hair Nook,Personal care service,yes,yes,7,1,1
Tanner & Co. Brewing,Drinking establishment,yes,yes,1,1,1
Tannery Outlet/Mad Hatter Books & Bar,Drinking establishment,yes,yes,1,1,1
Tantallon Laser Clinic,Personal care service,yes,yes,7,1,1
Tanya Crew's Hair,Personal care service,yes,yes,7,1,1
Tapered Edge Hairstyling,Personal care service,yes,yes,7,1,1
Tarek's Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Tart & Soul Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Tartans and Treasures,Small retail,no,yes,2,0,1
Tatamagouche Brewing Company,Drinking establishment,yes,no,1,1,0
Tatamagouche Ice Creamery,Restaurant with onsite dining,yes,yes,4,1,1
Tattingstone Inn,Restaurant with onsite dining,yes,yes,4,1,1
Tattoo Artist,Personal care service,yes,yes,7,1,1
Taverne Acadienne Limited,Drinking establishment,yes,yes,1,1,1
Taz Records Bedford,Small retail,no,yes,2,0,1
TC Nails and Spa,Personal care service,yes,yes,7,1,1
Tea n' Talk Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Team Orlando Hair Studio,Personal care service,yes,yes,7,1,1
Teazers Pub & Eatery,Restaurant with onsite dining,yes,no,4,1,0
Terence Bay Community Hall Association,Drinking establishment,no,yes,1,0,1
Teresa's His & Hers Hairstyling,Personal care service,yes,yes,7,1,1
Terry's Place,Restaurant with onsite dining,yes,yes,4,1,1
Textur Salon & Esthetics,Personal care service,yes,yes,7,1,1
TG Barbershop,Personal care service,yes,yes,7,1,1
Thai Ivory Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Thai Ivory Indian Express,Restaurant with onsite dining,no,yes,4,0,1
The 7 Virtues Communication Group,"Live, performing arts for audience",yes,yes,3,1,1
The Acupuncture Wellness Loft,Personal care service,yes,yes,7,1,1
The Aeolian Singers,"Live, performing arts for audience",yes,yes,3,1,1
The Anvil Beverage Room,Drinking establishment,no,yes,1,0,1
The Appleseed Modern Diner,Restaurant with onsite dining,yes,yes,4,1,1
The Ark,Small retail,no,yes,2,0,1
The Art Expo,Small retail,no,yes,2,0,1
The Astor Theatre Society,"Live, performing arts for audience",yes,yes,3,1,1
The Atlantic Jewish Council,Charity,yes,yes,7,1,1
The Barking Bean Cafe,Restaurant with onsite dining,yes,yes,4,1,1
The Barn Coffee and Social House,Restaurant with onsite dining,yes,yes,4,1,1
The Barrington Steakhouse and Oyster Bar,Restaurant with onsite dining,yes,no,4,1,0
The Beandock,Restaurant with onsite dining,yes,yes,4,1,1
The Best of Cape Breton Gift Shop,Small retail,no,yes,2,0,1
The Bicycle Lunchbox,Restaurant with onsite dining,yes,yes,4,1,1
The Bicycle Thief Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Big Mustache Hair Studio,Personal care service,yes,yes,7,1,1
The Big Scoop,Restaurant with onsite dining,yes,yes,4,1,1
The Bistro,Restaurant with onsite dining,no,yes,4,0,1
The Bite House,Restaurant with onsite dining,no,yes,4,0,1
The Bitter End,Drinking establishment,yes,yes,1,1,1
The Blomidon Inn,Restaurant with onsite dining,yes,yes,4,1,1
The Bloom Box,Small retail,no,yes,2,0,1
The Blunt Bartender,Restaurant with onsite dining,yes,yes,4,1,1
The Board Room Game Cafe,Restaurant with onsite dining,yes,yes,4,1,1
The Boutique by Eau Spa,Personal care service,yes,yes,7,1,1
The Bread Lounge Bakery,Restaurant with onsite dining,yes,yes,4,1,1
The Brooklyn Warehouse Cafe & Grill,Restaurant with onsite dining,yes,yes,4,1,1
The Bus Stop Theatre Co-op,"Live, performing arts for audience",yes,yes,3,1,1
The Butcher's Block,Restaurant with onsite dining,yes,yes,4,1,1
The Canadian Optical Warehouse,Self-regulated health professional,yes,no,6,1,0
The Canteen,Restaurant with onsite dining,yes,yes,4,1,1
The Captain's Boil,Restaurant with onsite dining,no,yes,4,0,1
The Carriage House,Drinking establishment,yes,yes,1,1,1
The Cellar Bar,Drinking establishment,yes,yes,1,1,1
The Chameleon Cafe and Supperclub,Restaurant with onsite dining,no,yes,4,0,1
The Chester Golf Club,Restaurant with onsite dining,no,yes,4,0,1
The Chicken Shack,Restaurant with onsite dining,yes,no,4,1,0
The China Boat Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Chiropractic Loft,Self-regulated health professional,yes,yes,6,1,1
The Church Brewing Co.,Restaurant with onsite dining,yes,yes,4,1,1
The Clever Barkeep,Drinking establishment,yes,yes,1,1,1
The Club Champlain Lounge,Drinking establishment,no,yes,1,0,1
The Club Inclusion,Charity,yes,yes,7,1,1
The Clucking Hen Caf̩,Small retail,no,yes,2,0,1
The Coffee Bean Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
The Colour Loft Salon,Personal care service,yes,yes,7,1,1
The Compass Rose Health and Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
The Compassionate Closet,Small retail,no,yes,2,0,1
The Cottage Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
The Cougar Dome,Fitness establishment,no,yes,0,0,1
The Country Kitchen,Restaurant with onsite dining,yes,no,4,1,0
The Courtyard: Artist & Artisans,Small retail,no,yes,2,0,1
The Cup of Soul Cafe,Restaurant with onsite dining,yes,no,4,1,0
The Daily Grind Coffee Shop,Restaurant with onsite dining,yes,yes,4,1,1
The Dancing Goat Cafe & Bakery,Restaurant with onsite dining,yes,yes,4,1,1
"The Dancing Moose Cafe, Cottage and Camping Cabins",Restaurant with onsite dining,yes,yes,4,1,1
The Dinner Plate Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Disc Clinic,Self-regulated health professional,yes,yes,6,1,1
The Disc Clinic,Self-regulated health professional,yes,yes,6,1,1
The Disc Clinic South Shore,Self-regulated health professional,yes,yes,6,1,1
The Discovery Centre,Charity,yes,yes,7,1,1
"The Dock Food, Spirits & Ales",Restaurant with onsite dining,yes,yes,4,1,1
The Doryman Pub & Grill,Drinking establishment,yes,yes,1,1,1
The End of the Line Pub & Grill,Restaurant with onsite dining,yes,yes,4,1,1
The Fantasy Beauty Studio,Personal care service,yes,yes,7,1,1
The Farmer's Daughter Country Market,Restaurant with onsite dining,yes,yes,4,1,1
The Finish Line Hair Design,Personal care service,yes,yes,7,1,1
The Fit & Frugal Dietitian,Fitness establishment,yes,yes,0,1,1
The Fitnessroom Halifax,Fitness establishment,yes,yes,0,1,1
The Flying Apron Inn & Cookery,Restaurant with onsite dining,yes,yes,4,1,1
The Foggy Goggle Bar and Grill,Restaurant with onsite dining,yes,yes,4,1,1
The Forrester Centre & The Krypt Lounge,Drinking establishment,no,yes,1,0,1
The Fourth Lock Bistro,Restaurant with onsite dining,yes,yes,4,1,1
The Frolick & Folk Pub & Grill,Restaurant with onsite dining,yes,yes,4,1,1
The Front Closet,Small retail,no,yes,2,0,1
The Front Room Hair,Personal care service,yes,yes,7,1,1
"The Fur Barber, Grooming and Doggy Daycare",Personal care service,yes,yes,7,1,1
The Furnace Nightclub,Drinking establishment,yes,yes,1,1,1
The Gaslight Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
The Gerald Hardy Memorial Society,Charity,yes,yes,7,1,1
The Glamorama,Personal care service,yes,yes,7,1,1
The Gold Barber Shop,Personal care service,yes,no,7,1,0
The Grand Banker Seafood & Grill,Restaurant with onsite dining,yes,yes,4,1,1
The Great Escape,"Live, performing arts for audience",yes,yes,3,1,1
The Hair Shed,Personal care service,yes,yes,7,1,1
The Hair Spa,Personal care service,yes,yes,7,1,1
The Halliburton Hotel,Restaurant with onsite dining,yes,yes,4,1,1
The Head Shoppe,Personal care service,yes,yes,7,1,1
The Head Shoppe,Personal care service,yes,yes,7,1,1
The Head Shoppe,Personal care service,yes,yes,7,1,1
The Head Shoppe,Personal care service,yes,yes,7,1,1
The Healing Centre,Personal care service,yes,yes,7,1,1
The Hearing Specialists,Self-regulated health professional,yes,yes,6,1,1
The Henley House Pub & Restaurant,Restaurant with onsite dining,no,yes,4,0,1
The Henry House,Restaurant with onsite dining,yes,yes,4,1,1
The Highlander Pub,Drinking establishment,no,yes,1,0,1
The Highwayman Restaurant & Bar,Restaurant with onsite dining,yes,yes,4,1,1
The Hills Bowtique,Personal care service,yes,yes,7,1,1
The Hub Too,Drinking establishment,yes,yes,1,1,1
The Improv Cafe,Restaurant with onsite dining,no,yes,4,0,1
The Iona Heights Inn,Drinking establishment,yes,yes,1,1,1
The Island Nest Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Italian Market,Restaurant with onsite dining,yes,yes,4,1,1
The Keg Steakhouse,Restaurant with onsite dining,yes,yes,4,1,1
The Keyosk,Small retail,no,yes,2,0,1
The Kids Fun Factory,Fitness establishment,yes,yes,0,1,1
The Kiwi Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
The Knot Pub,Restaurant with onsite dining,yes,yes,4,1,1
The Lakes Campground & Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Library Pub and Merchant Wine Tavern,Restaurant with onsite dining,yes,yes,4,1,1
The Lifehouse Family Chiropractic,Self-regulated health professional,yes,yes,6,1,1
The Little Gym of Halifax,Fitness establishment,no,yes,0,0,1
The Little Harbour Community Centre,Charity,yes,no,7,1,0
The Local NPC Games & Comics,Small retail,no,yes,2,0,1
The Lower Deck,Drinking establishment,yes,yes,1,1,1
The Lower Deck,Drinking establishment,yes,yes,1,1,1
The MacFarlane Lantern Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Market Groove Merchants,Small retail,no,yes,2,0,1
The Marquee Ballroom,Drinking establishment,yes,yes,1,1,1
The Mercantile Social,Restaurant with onsite dining,yes,yes,4,1,1
The Middle Spoon Desserterie & Bar,Restaurant with onsite dining,yes,yes,4,1,1
The Nail Boutique,Personal care service,yes,yes,7,1,1
The Naked Crepe Bistro,Restaurant with onsite dining,yes,yes,4,1,1
The Noodle Guy,Restaurant with onsite dining,yes,yes,4,1,1
The Nook & Cranny,Restaurant with onsite dining,yes,yes,4,1,1
The Nook Espresso Bar and Lounge,Restaurant with onsite dining,yes,yes,4,1,1
The Old Apothecary Bakery & Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
The Old Fish Factory Restaurant,Restaurant with onsite dining,no,yes,4,0,1
The Old Triangle Irish Alehouse,Restaurant with onsite dining,yes,yes,4,1,1
The Old Triangle Irish Alehouse,Restaurant with onsite dining,yes,yes,4,1,1
The Old Warehouse,Drinking establishment,yes,yes,1,1,1
The Olive Tree Pizzeria Bistro,Restaurant with onsite dining,yes,yes,4,1,1
The Opulent Alpaca,Small retail,no,yes,2,0,1
The Orient Chinese Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
The Ostrich Club,Restaurant with onsite dining,yes,yes,4,1,1
The Parlour Boutique Salon,Personal care service,yes,yes,7,1,1
The Paw Spa,Personal care service,yes,no,7,1,0
The Pilates Barre Halifax,Fitness establishment,yes,yes,0,1,1
The Pizza Cut,Restaurant with onsite dining,yes,yes,4,1,1
The Playful Pumpkin Play Cafe,Restaurant with onsite dining,yes,yes,4,1,1
The Plum Tree Gift Shoppe,Small retail,no,yes,2,0,1
The Ponderossa,Restaurant with onsite dining,yes,no,4,1,0
"The Port Grocer, Caf̩ & Art Space",Restaurant with onsite dining,yes,yes,4,1,1
The Port Pub and Bistro,Restaurant with onsite dining,yes,yes,4,1,1
The Powder Room,Personal care service,no,yes,7,0,1
The Practice Energy Movement Centre,Fitness establishment,yes,yes,0,1,1
The Press Gang,Restaurant with onsite dining,yes,no,4,1,0
The Press Gang,Restaurant with onsite dining,no,yes,4,0,1
The Puppy Palace,Personal care service,yes,yes,7,1,1
The Quarterdeck Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Rack & Cue/The Rack Bar and Billiards,Drinking establishment,yes,yes,1,1,1
The Ready Room Salon,Personal care service,yes,yes,7,1,1
The Real Scoop Ice Cream & Espresso Shop,Restaurant with onsite dining,yes,yes,4,1,1
The Red Ruby Hair Salon,Personal care service,yes,yes,7,1,1
The Red Stag Tavern,Drinking establishment,yes,yes,1,1,1
The ReFound Shop,Small retail,no,yes,2,0,1
The Ridge Hair Salon,Personal care service,yes,no,7,1,0
The Rolled Oat Cafe,Restaurant with onsite dining,yes,yes,4,1,1
The Rope Loft,Restaurant with onsite dining,yes,yes,4,1,1
The Rusty Zipper Upscale Consignment,Small retail,no,yes,2,0,1
The Sailor's Galley,Restaurant with onsite dining,yes,yes,4,1,1
The Salt Room Salt Therapy,Self-regulated health professional,yes,yes,6,1,1
The Savoie Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
The Savvy Sailor Cafe,Restaurant with onsite dining,yes,yes,4,1,1
The Scissor Haven Salon and Barbershop,Personal care service,yes,yes,7,1,1
The Sea Dog Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Seahorse Tavern,Drinking establishment,yes,yes,1,1,1
The Ship's Galley Pub & Eatery,Restaurant with onsite dining,yes,yes,4,1,1
The Shore Club,Restaurant with onsite dining,no,yes,4,0,1
The Soap Company of Nova Scotia,Small retail,no,yes,2,0,1
The Sonic Temple,"Live, performing arts for audience",yes,yes,3,1,1
The South Shore Fish Shack,Restaurant with onsite dining,no,yes,4,0,1
The Sou'Wester Gift & Restaurant Co.,Restaurant with onsite dining,yes,yes,4,1,1
The Sparkling Starfish Jewellery & Gifts,Small retail,no,yes,2,0,1
The St. Cecilia Concert Society,Charity,yes,yes,7,1,1
The Stone Soup Caf̩ & Catering,Restaurant with onsite dining,yes,yes,4,1,1
The Stretch Diner,Restaurant with onsite dining,no,yes,4,0,1
